Stanox;Latitude;Longitude;CRS Code;NLCDesc;Station Name;Tiploc Code
23177;;;"''";"BALNE SIGNAL D864";"''";"''"
23176;;;"''";"BALNE SIGNAL Y863";"''";"''"
30165;;;"''";"BALSHAW LANE";"''";"''"
86079;;;"''";"BALTIC SIDING";"''";"''"
30140;;;"''";"BAMBER BRIDGE ENG REC SDG";"''";"''"
35155;;;"''";"BAMFURLONG JUNCTION";"''";"''"
69433;;;"''";"BANBURY CATTLE RD SIDINGS";"''";"''"
69423;;;"''";"BANBURY DOWN GOODS LOOP";"''";"''"
70137;;;"''";"BANBURY LANE LEVEL CROSSING";"''";"''"
69428;;;"''";"BANBURY RESERVOIR <REDLAND>";"''";"''"
69432;;;"''";"BANBURY SIGNAL 12";"''";"''"
69431;;;"''";"BANBURY SIGNAL 21";"''";"''"
69434;;;"''";"BANBURY SIGNAL 9";"''";"''"
69430;;;"''";"BANBURY SIGNAL BS32";"''";"''"
69427;;;"''";"BANBURY SOUTH SB";"''";"''"
69426;;;"''";"BANBURY TAMPER SIDING";"''";"''"
69421;;;"''";"BANBURY UP GOODS LOOP";"''";"''"
69420;;;"''";"BANBURY UP SIDINGS";"''";"''"
40040;;;"''";"BANGOR C.S.";"''";"''"
40034;;;"''";"BANGOR FREIGHT DEPOT";"''";"''"
40032;;;"''";"BANGOR SIG. BR37";"''";"''"
8829;;;"''";"BANK JN";"''";"''"
8413;;;"''";"BARASSIE JN";"''";"''"
8410;;;"''";"BARASSIE JN D.P.L.";"''";"''"
8412;;;"''";"BARASSIE JN U.G.L.";"''";"''"
8408;;;"''";"BARASSIE YARD FHH";"''";"''"
8407;;;"''";"BARASSIE YARD GBRF";"''";"''"
63635;;;"''";"BARBICAN LT";"''";"''"
215;;;"''";"BARCELONA EL MORROT";"''";"''"
58109;;;"''";"BARDON HILL";"''";"''"
58112;;;"''";"BARDON HILL GBRF";"''";"''"
58115;;;"''";"BARDON HILL GROUND FRAME";"''";"''"
58111;;;"''";"BARDON HILL QUARRIES";"''";"''"
58110;;;"''";"BARDON HILL QUARRY";"''";"''"
58114;;;"''";"BARDON HILL QUARRY FHH";"''";"''"
58113;;;"''";"BARDON HILL RS";"''";"''"
88506;;;"''";"BARDON LONDON";"''";"''"
78350;;;"''";"BARGOED SINGLE LINE JN";"''";"''"
78352;;;"''";"BARGOED VIADUCT SIDINGS";"''";"''"
49019;;;"''";"BARHAM FHH";"''";"''"
49017;;;"''";"BARHAM GROUND SIG C01379";"''";"''"
51513;;;"''";"BARKING EUROHUB (DBS)";"''";"''"
51518;;;"''";"BARKING FREIGHT DEPOT";"''";"''"
51532;;;"''";"BARKING LT";"''";"''"
51517;;;"''";"BARKING R.H.S.";"''";"''"
51530;;;"''";"BARKING STATION JUNCTION";"''";"''"
51529;;;"''";"BARKING UPNEY JUNCTION";"''";"''"
44100;;;"''";"BARKSTON EAST JN";"''";"''"
44379;;;"''";"BARKSTON SOUTH JN";"''";"''"
16525;;;"''";"BARLBY LOOPS";"''";"''"
16528;;;"''";"BARLBY NORTH JN";"''";"''"
23402;;;"''";"BARNBY DUN ROCKWARE GLASS GBRF";"''";"''"
88393;;;"''";"BARNEHURST SIGNAL NK1532";"''";"''"
87166;;;"''";"BARNES SIGNAL W1090";"''";"''"
21412;;;"''";"BARNETBY DOWN RECP SDGS";"''";"''"
21413;;;"''";"BARNETBY EA FUEL POINT SDG";"''";"''"
21417;;;"''";"BARNETBY GPL CB8801";"''";"''"
21416;;;"''";"BARNETBY SIGNAL BE27";"''";"''"
21411;;;"''";"BARNETBY UP SIDINGS";"''";"''"
86452;;;"''";"BARNHAM PLATFORMS (R)";"''";"''"
86454;;;"''";"BARNHAM SIGNAL BH115";"''";"''"
86453;;;"''";"BARNHAM SIGNAL BH122";"''";"''"
86450;;;"''";"BARNHAM UP SIDINGS";"''";"''"
